url;time;respBodySize;mineType;nbTrame;nbHops;timeByTrame;TimeByHops;Conso
www.leboncoin.fr;150;8279;text/html;6;12;25.000;2.083;.006749
www.leboncoin.fr;139;1773;max-age=604800;2;12;69.500;5.791;.012327
www.leboncoin.fr;404;35321;max-age=604800;24;12;16.833;1.402;.011540
tags.tiqcdn.com;57;10717;max-age=300;8;13;7.125;.548;.002156
www.leboncoin.fr;180;4589;max-age=604800;4;12;45.000;3.750;.010066
static.leboncoin.fr;345;5824;max-age=172800;4;12;86.250;7.187;.019292
www.leboncoin.fr;139;1205;max-age=604800;1;12;139.000;11.583;.021439
www.leboncoin.fr;131;1438;max-age=604800;1;12;131.000;10.916;.020203
tags.tiqcdn.com;39;1348;max-age=2592000;1;13;39.000;3.000;.005982
static.leboncoin.fr;535;115;max-age=172800;1;12;535.000;44.583;.082522
static.leboncoin.fr;240;5854;max-age=172800;4;12;60.000;5.000;.013425
static.leboncoin.fr;522;133;max-age=172800;1;12;522.000;43.500;.080518
static.leboncoin.fr;255;4277;max-age=172800;3;12;85.000;7.083;.017047
static.leboncoin.fr;259;5621;max-age=172800;4;12;64.750;5.395;.014481
tags.tiqcdn.com;48;2668;max-age=2592000;2;13;24.000;1.846;.004192
aimfar.solution.weborama.fr;124;0;no-store;1;14;124.000;8.857;.018926
aimfar.solution.weborama.fr;139;115;no-store;1;14;139.000;9.928;.021214
56c646cc9f58f35661191763632f428a.leboncoin.fr;136;116;no-cache;1;13;136.000;10.461;.020858
static.leboncoin.fr;479;357;max-age=172800;1;12;479.000;39.916;.073882
static.leboncoin.fr;132;558;max-age=172800;1;12;132.000;11.000;.020361
static.leboncoin.fr;139;467;max-age=172800;1;12;139.000;11.583;.021439
static.leboncoin.fr;148;418;max-age=172800;1;12;148.000;12.333;.022827
static.leboncoin.fr;149;470;max-age=172800;1;12;149.000;12.416;.022980
static.leboncoin.fr;162;462;max-age=172800;1;12;162.000;13.500;.024988
www.leboncoin.fr;145;1102;max-age=604800;1;12;145.000;12.083;.022364
tags.tiqcdn.com;42;1036;max-age=2592000;1;13;42.000;3.230;.006438
static.leboncoin.fr;244;7577;max-age=172800;6;12;40.666;3.388;.010974
static.leboncoin.fr;136;491;max-age=172800;1;12;136.000;11.333;.020976
static.leboncoin.fr;130;510;max-age=172800;1;12;130.000;10.833;.020051
static.leboncoin.fr;451;340;max-age=172800;1;12;451.000;37.583;.069565
static.leboncoin.fr;136;411;max-age=172800;1;12;136.000;11.333;.020976
tags.tiqcdn.com;39;0;max-age=1800;1;13;39.000;3.000;.005982
logc153.xiti.com;136;0;;1;20;136.000;6.800;.020365
static.leboncoin.fr;489;358;max-age=172800;1;12;489.000;40.750;.075427
static.leboncoin.fr;134;361;max-age=172800;1;12;134.000;11.166;.020667
static.leboncoin.fr;135;543;max-age=172800;1;12;135.000;11.250;.020822
static.leboncoin.fr;130;379;max-age=172800;1;12;130.000;10.833;.020051
d1nf1ogr7o23z7.cloudfront.net;107;23286;s-maxage=0;16;12;6.687;.557;.003339
static.leboncoin.fr;130;435;max-age=172800;1;12;130.000;10.833;.020051
static.leboncoin.fr;136;561;max-age=172800;1;12;136.000;11.333;.020976
static.leboncoin.fr;130;363;max-age=172800;1;12;130.000;10.833;.020051
static.leboncoin.fr;125;506;max-age=172800;1;12;125.000;10.416;.019278
logc153.xiti.com;138;43;image/gif;1;20;138.000;6.900;.020664
static.leboncoin.fr;133;396;max-age=172800;1;12;133.000;11.083;.020513
static.leboncoin.fr;135;476;max-age=172800;1;12;135.000;11.250;.020822
static.leboncoin.fr;127;537;max-age=172800;1;12;127.000;10.583;.019588
static.leboncoin.fr;133;565;max-age=172800;1;12;133.000;11.083;.020513
static.leboncoin.fr;126;373;max-age=172800;1;12;126.000;10.500;.019435
static.leboncoin.fr;129;367;max-age=172800;1;12;129.000;10.750;.019897
static.leboncoin.fr;464;336;max-age=172800;1;12;464.000;38.666;.071570
static.leboncoin.fr;451;323;max-age=172800;1;12;451.000;37.583;.069565
static.leboncoin.fr;255;6290;max-age=172800;5;12;51.000;4.250;.012589
cis.schibsted.com;134;0; no-cache;1;20;134.000;6.700;.020065
www.leboncoin.fr;143;1150;max-age=604800;1;12;143.000;11.916;.022054
cis.schibsted.com;138;0; no-cache;1;20;138.000;6.900;.020664
cis.schibsted.com;145;0; no-cache;1;20;145.000;7.250;.021712
www.leboncoin.fr;151;7877;text/html;6;12;25.166;2.097;.006789
56c646cc9f58f35661191763632f428a.leboncoin.fr;128;116;no-cache;1;13;128.000;9.846;.019631
logc153.xiti.com;135;43;image/gif;1;20;135.000;6.750;.020215
d1nf1ogr7o23z7.cloudfront.net;40;0;s-maxage=0;1;12;40.000;3.333;.006168
collector.schibsted.io;134;0;Content-Type: application/json;1;20;134.000;6.700;.020065
collector.schibsted.io;144;0; no-cache;1;20;144.000;7.200;.021562
Total;;;;;;;;1.461848
