code,city,country,lat,lon,ip
N/A, N/A, FR, 48.860001, 2.350000,37.187.86.89
VA, Virginia, US, 39.043701, -77.487503,107.22.237.47
CA, California, US, 37.419201, -122.057404,173.194.34.52
CA, California, US, 37.419201, -122.057404,173.194.40.100
CA, California, US, 37.419201, -122.057404,173.194.40.195
CA, California, US, 37.419201, -122.057404,173.194.45.45
CA, California, US, 37.419201, -122.057404,173.194.45.59
CA, California, US, 37.419201, -122.057404,173.194.45.60
N/A, N/A, IE, 53.000000, -8.000000,176.34.102.218
N/A, N/A, IE, 53.000000, -8.000000,178.236.7.137
N/A, N/A, EU, 47.000000, 8.000000,185.31.17.175
N/A, N/A, EU, 47.000000, 8.000000,2.16.117.27
N/A, N/A, EU, 47.000000, 8.000000,2.16.117.64
N/A, N/A, EU, 47.000000, 8.000000,2.20.31.217
N/A, N/A, IE, 53.000000, -8.000000,31.13.64.81
N/A, N/A, FR, 48.860001, 2.350000,37.187.86.89
N/A, N/A, EU, 47.000000, 8.000000,37.252.170.11
N/A, N/A, EU, 47.000000, 8.000000,37.252.170.23
N/A, N/A, FR, 48.860001, 2.350000,46.182.41.57
N/A, N/A, FR, 48.860001, 2.350000,46.182.41.62
N/A, N/A, FR, 48.860001, 2.350000,46.182.42.47
WA, Washington, US, 47.583900, -122.299500,54.230.199.58
VA, Virginia, US, 39.043701, -77.487503,54.243.74.164
N/A, N/A, IE, 53.000000, -8.000000,54.247.188.197
CA, California, US, 37.419201, -122.057404,64.233.167.95
NY, New York, US, 40.688801, -74.020302,69.172.216.111
NY, New York, US, 40.688801, -74.020302,69.172.216.56
NY, New York, US, 40.688801, -74.020302,69.172.216.58
N/A, N/A, FR, 48.860001, 2.350000,87.98.130.52
N/A, N/A, GB, 51.500000, -0.130000,94.245.121.176
